<TICKER>,<DTYYYYMMDD>,<DTYYYYMMDD2>,code,close
شاخص_كل6,13890412,20100703,IDXS,14561.10
شاخص_كل6,13890413,20100704,IDXS,14504.20
شاخص_كل6,13890414,20100705,IDXS,14553.20
شاخص_كل6,13890415,20100706,IDXS,14571.60
شاخص_كل6,13890416,20100707,IDXS,14718.80
شاخص_كل6,13890420,20100711,IDXS,14883.40
شاخص_كل6,13890421,20100712,IDXS,14981.50
شاخص_كل6,13890422,20100713,IDXS,15005.90
شاخص_كل6,13890423,20100714,IDXS,15080.40
شاخص_كل6,13890426,20100717,IDXS,15118.00
شاخص_كل6,13890427,20100718,IDXS,15189.00
شاخص_كل6,13890428,20100719,IDXS,15244.80
شاخص_كل6,13890429,20100720,IDXS,15344.60
شاخص_كل6,13890430,20100721,IDXS,15360.70
شاخص_كل6,13890502,20100724,IDXS,15455.40
شاخص_كل6,13890503,20100725,IDXS,15660.90
شاخص_كل6,13890504,20100726,IDXS,15746.50
شاخص_كل6,13890506,20100728,IDXS,15794.10
شاخص_كل6,13890509,20100731,IDXS,15840.50
شاخص_كل6,13890510,20100801,IDXS,15870.00
شاخص_كل6,13890511,20100802,IDXS,16078.10
شاخص_كل6,13890512,20100803,IDXS,16281.70
شاخص_كل6,13890513,20100804,IDXS,16317.90
شاخص_كل6,13890516,20100807,IDXS,16606.10
شاخص_كل6,13890517,20100808,IDXS,16625.90
شاخص_كل6,13890518,20100809,IDXS,16674.40
شاخص_كل6,13890519,20100810,IDXS,16841.40
شاخص_كل6,13890520,20100811,IDXS,16995.10
شاخص_كل6,13890523,20100814,IDXS,16864.60
شاخص_كل6,13890524,20100815,IDXS,16701.10
شاخص_كل6,13890525,20100816,IDXS,16766.90
شاخص_كل6,13890526,20100817,IDXS,16910.80
شاخص_كل6,13890527,20100818,IDXS,17009.60
شاخص_كل6,13890530,20100821,IDXS,16974.60
شاخص_كل6,13890531,20100822,IDXS,16957.60
شاخص_كل6,13890601,20100823,IDXS,17116.70
شاخص_كل6,13890602,20100824,IDXS,17152.70
شاخص_كل6,13890603,20100825,IDXS,17233.10
شاخص_كل6,13890606,20100828,IDXS,17401.00
شاخص_كل6,13890607,20100829,IDXS,17767.80
شاخص_كل6,13890608,20100830,IDXS,17938.00
شاخص_كل6,13890609,20100831,IDXS,17955.70
شاخص_كل6,13890613,20100904,IDXS,18315.80
شاخص_كل6,13890614,20100905,IDXS,18636.10
شاخص_كل6,13890615,20100906,IDXS,18648.20
شاخص_كل6,13890616,20100907,IDXS,18458.90
شاخص_كل6,13890617,20100908,IDXS,18429.60
شاخص_كل6,13890621,20100912,IDXS,18533.40
شاخص_كل6,13890622,20100913,IDXS,18533.70
شاخص_كل6,13890623,20100914,IDXS,18543.10
شاخص_كل6,13890624,20100915,IDXS,18555.70
شاخص_كل6,13890627,20100918,IDXS,18657.70
شاخص_كل6,13890628,20100919,IDXS,18487.60
شاخص_كل6,13890629,20100920,IDXS,18303.30
شاخص_كل6,13890630,20100921,IDXS,18413.00
شاخص_كل6,13890631,20100922,IDXS,18548.60
شاخص_كل6,13890703,20100925,IDXS,18673.30
شاخص_كل6,13890704,20100926,IDXS,18527.80
شاخص_كل6,13890705,20100927,IDXS,18405.60
شاخص_كل6,13890706,20100928,IDXS,18535.30
شاخص_كل6,13890707,20100929,IDXS,18671.30
شاخص_كل6,13890710,20101002,IDXS,18790.40
شاخص_كل6,13890711,20101003,IDXS,18762.40
شاخص_كل6,13890713,20101005,IDXS,18749.90
شاخص_كل6,13890714,20101006,IDXS,18871.80
شاخص_كل6,13890717,20101009,IDXS,18937.70
شاخص_كل6,13890718,20101010,IDXS,18642.00
شاخص_كل6,13890719,20101011,IDXS,18564.00
شاخص_كل6,13890720,20101012,IDXS,18283.00
شاخص_كل6,13890721,20101013,IDXS,17902.50
شاخص_كل6,13890724,20101016,IDXS,17973.10
شاخص_كل6,13890725,20101017,IDXS,18111.10
شاخص_كل6,13890726,20101018,IDXS,18343.80
شاخص_كل6,13890727,20101019,IDXS,18292.90
شاخص_كل6,13890728,20101020,IDXS,18229.50
شاخص_كل6,13890801,20101023,IDXS,18324.60
شاخص_كل6,13890802,20101024,IDXS,18163.70
شاخص_كل6,13890803,20101025,IDXS,18035.90
شاخص_كل6,13890804,20101026,IDXS,18006.10
شاخص_كل6,13890805,20101027,IDXS,17956.40
شاخص_كل6,13890808,20101030,IDXS,18034.90
شاخص_كل6,13890809,20101031,IDXS,18011.00
شاخص_كل6,13890810,20101101,IDXS,17972.90
شاخص_كل6,13890811,20101102,IDXS,17960.50
شاخص_كل6,13890812,20101103,IDXS,17976.70
شاخص_كل6,13890815,20101106,IDXS,18089.80
شاخص_كل6,13890816,20101107,IDXS,18015.90
شاخص_كل6,13890817,20101108,IDXS,17969.50
شاخص_كل6,13890818,20101109,IDXS,18038.50
شاخص_كل6,13890819,20101110,IDXS,18113.40
شاخص_كل6,13890822,20101113,IDXS,18044.30
شاخص_كل6,13890823,20101114,IDXS,18042.10
شاخص_كل6,13890824,20101115,IDXS,18035.60
شاخص_كل6,13890825,20101116,IDXS,18021.00
شاخص_كل6,13890829,20101120,IDXS,18062.50
شاخص_كل6,13890830,20101121,IDXS,18133.70
شاخص_كل6,13890901,20101122,IDXS,18257.80
شاخص_كل6,13890902,20101123,IDXS,18226.60
شاخص_كل6,13890903,20101124,IDXS,18289.20
شاخص_كل6,13890906,20101127,IDXS,18427.70
شاخص_كل6,13890907,20101128,IDXS,18404.50
شاخص_كل6,13890908,20101129,IDXS,18284.70
شاخص_كل6,13890909,20101130,IDXS,18242.60
شاخص_كل6,13890910,20101201,IDXS,18280.00
شاخص_كل6,13890913,20101204,IDXS,18292.40
شاخص_كل6,13890914,20101205,IDXS,18319.30
شاخص_كل6,13890915,20101206,IDXS,18291.90
شاخص_كل6,13890916,20101207,IDXS,18317.30
شاخص_كل6,13890917,20101208,IDXS,18371.20
شاخص_كل6,13890920,20101211,IDXS,18460.30
شاخص_كل6,13890921,20101212,IDXS,18443.70
شاخص_كل6,13890922,20101213,IDXS,18414.70
شاخص_كل6,13890923,20101214,IDXS,18414.30
شاخص_كل6,13890927,20101218,IDXS,18366.40
شاخص_كل6,13890928,20101219,IDXS,18203.40
شاخص_كل6,13890929,20101220,IDXS,18249.70
شاخص_كل6,13890930,20101221,IDXS,18353.10
شاخص_كل6,13891001,20101222,IDXS,18398.90
شاخص_كل6,13891004,20101225,IDXS,18585.80
شاخص_كل6,13891005,20101226,IDXS,18723.10
شاخص_كل6,13891006,20101227,IDXS,18689.00
شاخص_كل6,13891007,20101228,IDXS,18771.40
شاخص_كل6,13891008,20101229,IDXS,18855.20
شاخص_كل6,13891011,20110101,IDXS,18849.10
شاخص_كل6,13891012,20110102,IDXS,18898.10
شاخص_كل6,13891013,20110103,IDXS,19021.00
شاخص_كل6,13891014,20110104,IDXS,19200.40
شاخص_كل6,13891015,20110105,IDXS,19361.50
شاخص_كل6,13891018,20110108,IDXS,19451.50
شاخص_كل6,13891019,20110109,IDXS,19699.90
شاخص_كل6,13891020,20110110,IDXS,19690.90
شاخص_كل6,13891021,20110111,IDXS,19778.60
شاخص_كل6,13891022,20110112,IDXS,19759.10
شاخص_كل6,13891025,20110115,IDXS,19705.30
شاخص_كل6,13891026,20110116,IDXS,19830.60
شاخص_كل6,13891027,20110117,IDXS,19904.70
شاخص_كل6,13891028,20110118,IDXS,19937.90
شاخص_كل6,13891029,20110119,IDXS,20206.60
شاخص_كل6,13891102,20110122,IDXS,20352.70
شاخص_كل6,13891103,20110123,IDXS,20416.00
شاخص_كل6,13891104,20110124,IDXS,20462.60
شاخص_كل6,13891106,20110126,IDXS,20684.80
شاخص_كل6,13891109,20110129,IDXS,20905.90
شاخص_كل6,13891110,20110130,IDXS,20877.60
شاخص_كل6,13891111,20110131,IDXS,20997.10
شاخص_كل6,13891112,20110201,IDXS,21349.40
شاخص_كل6,13891116,20110205,IDXS,21810.70
شاخص_كل6,13891117,20110206,IDXS,21840.00
شاخص_كل6,13891118,20110207,IDXS,21944.40
شاخص_كل6,13891119,20110208,IDXS,21867.40
شاخص_كل6,13891120,20110209,IDXS,21929.00
شاخص_كل6,13891123,20110212,IDXS,22000.50
شاخص_كل6,13891124,20110213,IDXS,22136.50
شاخص_كل6,13891125,20110214,IDXS,22260.40
شاخص_كل6,13891126,20110215,IDXS,22270.40
شاخص_كل6,13891127,20110216,IDXS,22188.30
شاخص_كل6,13891130,20110219,IDXS,22090.30
شاخص_كل6,13891201,20110220,IDXS,21762.20
شاخص_كل6,13891203,20110222,IDXS,21739.40
شاخص_كل6,13891204,20110223,IDXS,21749.50
